name,ID,start_day,start_time,end_day,end_time,car1,car2,car3,moto1,moto2,moto3,bus1,bus2,bus3,rv1,rv2,rv3,truck1,truck2,taxi1,taxi2,taxi3,date
Warrendale,20000,Monday,00:00:00,Sunday,23:59:59,2.7,3.6,4.2,-1,-1,-1,5.3,7.6,8.9,2.7,3.6,4.2,7.6,8.9,3.6,4.2,4.2,2023/05/05
Butler Valley,20002,Monday,00:00:00,Sunday,23:59:59,2.7,3.6,4.2,-1,-1,-1,5.3,7.6,8.9,2.7,3.6,4.2,7.6,8.9,3.6,4.2,4.2,2023/05/02
Allegheny Valley,20004,Monday,00:00:00,Sunday,23:59:59,3.6,5.4,5.8,-1,-1,-1,7.6,11.1,12.2,3.6,5.4,5.8,11.1,12.2,5.4,5.8,5.8,2023/05/09
Pittsburgh,20006,Monday,00:00:00,Sunday,23:59:59,4.9,6.6,8.1,-1,-1,-1,10,13.3,17,4.9,6.6,8.1,13.3,17,6.6,8.1,8.1,2023/05/13
Irwin,20008,Monday,00:00:00,Sunday,23:59:59,6.6,8.8,11,-1,-1,-1,13.3,18,22.5,6.6,8.8,11,18,22.5,8.8,11,11,2023/05/30
New Stanton,20010,Monday,00:00:00,Sunday,23:59:59,7.1,10.4,12.8,-1,-1,-1,14.4,21.5,26.1,7.1,10.4,12.8,21.5,26.1,10.4,12.8,12.8,2023/05/11
Donegal,20012,Monday,00:00:00,Sunday,23:59:59,9.4,13.8,16.1,-1,-1,-1,19.2,28.3,32.8,9.4,13.8,16.1,28.3,32.8,13.8,16.1,16.1,2023/05/06
Somerset,20014,Monday,00:00:00,Sunday,23:59:59,11.6,17.3,21.3,-1,-1,-1,23.6,35.2,43,11.6,17.3,21.3,35.2,43,17.3,21.3,21.3,2023/06/21
Bedford,20016,Monday,00:00:00,Sunday,23:59:59,16.1,24.1,29.1,-1,-1,-1,32.8,49,59,16.1,24.1,29.1,49,59,24.1,29.1,29.1,2023/06/15
Breezewood,20018,Monday,00:00:00,Sunday,23:59:59,18.4,27.5,33.8,-1,-1,-1,37.2,55.6,67.9,18.4,27.5,33.8,55.6,67.9,27.5,33.8,33.8,2023/06/27
Fort Littleton,20020,Monday,00:00:00,Sunday,23:59:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023/07/09
Willow Hill,20022,Monday,00:00:00,Sunday,23:59:59,21.9,32.1,40.1,-1,-1,-1,42.3,61.5,76.6,21.9,32.1,40.1,61.5,76.6,32.1,40.1,40.1,2023/07/03
Blue Mountain,20024,Monday,00:00:00,Sunday,23:59:59,23.5,34.7,42.7,-1,-1,-1,47.7,70.8,86.6,23.5,34.7,42.7,70.8,86.6,34.7,42.7,42.7,2023/06/18
Carlisle,20026,Monday,00:00:00,Sunday,23:59:59,26.8,39.3,47.9,-1,-1,-1,54.6,79.6,96.8,26.8,39.3,47.9,79.6,96.8,39.3,47.9,47.9,2023/07/06
Gettysburg Pike,20028,Monday,00:00:00,Sunday,23:59:59,28,41,50.1,-1,-1,-1,56.7,83.2,101.3,28,41,50.1,83.2,101.3,41,50.1,50.1,2023/05/17
Harrisburg West,20030,Monday,00:00:00,Sunday,23:59:59,28.5,42.3,52.3,-1,-1,-1,58.3,85.4,106.1,28.5,42.3,52.3,85.4,106.1,42.3,52.3,52.3,2023/05/25
Harrisburg East,20032,Monday,00:00:00,Sunday,23:59:59,29.1,43.3,53.7,-1,-1,-1,59,87.6,108.8,29.1,43.3,53.7,87.6,108.8,43.3,53.7,53.7,2023/06/08
Lebanon-Lancaster,20034,Monday,00:00:00,Sunday,23:59:59,30.7,45.5,57,-1,-1,-1,62.5,92.1,115.1,30.7,45.5,57,92.1,115.1,45.5,57,57,2023/06/22
Reading,20036,Monday,00:00:00,Sunday,23:59:59,33.8,50.1,61.4,-1,-1,-1,67.9,101.3,124.4,33.8,50.1,61.4,101.3,124.4,50.1,61.4,61.4,2023/06/14
Morgantown,20038,Monday,00:00:00,Sunday,23:59:59,34.7,52.3,63.6,-1,-1,-1,70.8,106.1,128.6,34.7,52.3,63.6,106.1,128.6,52.3,63.6,63.6,2023/06/02
